OwnerUserId,Score
758,25
1632,18
2628,79
2025,220
3259,20
255,6
2580,6
3105,21
4239,20
1455,15
4285,17
2470,38
1891,37
4639,59
6751,20
7370,222
9632,17
,7
9622,7
1994377,15
,12
1368,24
,22
17174,27
5369,13
4911,23
,2
15004,5
19912,7
,28
21151,0
14028,43
658,35
1644,7
7587,14
6044,13
8206,20
11206,17
7290,31
91,34
12689,35
25971,5
22979,35
23667,2
26286,28
14642,1
,39
26210,15
25012,57
28275,29
4322,24
19212,13
1580,7
23427,50
317,0
1925,15
45603,27
6522,50
17715,14
6158,15
83,11
30594,32
208,127
83,14
21499,16
35229,34
,3
5827,1
4232,12
7215,12
5142,7
4653,2
35454,11
26086,4
,2
,6
18174,21
31092,45
40443,3
20444,115
40214,8
24126,6
24165,43
34183,15
,1
1288,14
18714,3
39259,41
43649,40
1019,18
2197,13
12030,21
31172,2
40872,16
35579,16
47167,12
,27
1688440,1
1491,26
40568,10
17560,20
22451,23
,6
32914,8
18853,1
12650,20
44521,13
23903,17
51133,6
22914,18
46616,26
34537,39
45109,3
26592,64
39263,7
23341,12
53594,8
452521,9
14302,15
46297,4
58934,16
55176,12
11236,70
2712,20
10420,2
48461,8
11522,6
63439,66
35286,10
1100768,22
16562,12
19104,61
3237,9
16306,1
13673,5
23610,20
14118,1
52416,123
39321,8
54271,18
65167,11
68880,28
680,20
55860,2
55614,14
46006,15
69672,26
,12
4704,6
55469,41
42848,1
67521,5
60096,52
17188,22
40118,15
67959,6
9611,13
49632,15
54964,28
58521,1
70880,9
54612,14
4873,1
42139,29
78739,32
79685,11
62776,2
40907,20
70918,12
76777,3
45531,39
9269,19
39036,80
25749,27
32173,19
49207,3
88207,18
34796,3
81926,16
54829,41
72583,15
17635,21
20641,19
10439,27
88470,9
34537,15
90317,13
28482,10
,2
13087,7
401165,2
2715,11
44330,14
94126,26
94818,41
54964,81
10433,7
92676,14
93165,6
22702,17
95844,1
97934,28
68707,26
92794,14
3446,7
45471,0
78305,5
32484,3
88204,8
41021,37
,9
20471,34
,22
97688,20
49742,4
45704,0
87616,25
21005,20
1586,38
62553,52
82938,1
36737,12
56224,3
77212,16
106781,35
83450,20
42595,43
21966,54
99213,2
18565,22
86156,16
29,4
55860,6
60628,23
105136,5
110395,5
14302,33
2077,10
111620,4
49027,17
36544,28
112500,7
93966,10
23566,21
114400,47
,51
73572,2
115389,2
26592,41
117768,6
75658,26
119210,5
10715,45
81636,52
119507,29
84885,3
4061,8
7173,2
90826,23
96172,22
,4
82625,13
7883,29
3587,8
113255,36
82660,10
230,19
87399,26
118950,4
48311,8
128422,7
1288364,4
15592,15
,7
105094,2
,6
27862,24
132157,1
14555,66
,25
119081,28
131448,4
134763,20
,11
274,2
74031,46
4593,75
,21
130882,10
114338,3
68759,24
99297,29
131201,11
3834,8
109896,5
139277,33
138060,15
116882,18
95423,4
50985,4
,27
,2
131456,12
136871,1
141652,9
,9
90994,5
68348,26
140223,2
138832,14
106410,27
111133,12
11760,27
64334,12
147150,14
146752,83
31425,26
18774,7
,10
68287,27
149038,9
119387,15
127499,24
104459,0
,30
83897,12
105015,46
,5
197229,6
93493,7
3333,50
152839,24
68707,19
153541,3
476,72
63235,9
153487,12
49870,6
2959,8
108869,7
132287,18
974,30
454259,6
69993,27
134602,1
588,22
1154,34
1219,7
394,10
814,11
2062,2
2453,14
720,27
4189,26
123,35
3180,12
4646,13
5563,10
4916,36
9587,25
12037,18
2232,12
1672,24
14437,21
13028,14
15486,18
16922,15
3146,100
,13
832,36
4749,8
404,13
19688,49
19268,7
493,11
910,27
10942,20
22009,6
15136,10
6777,21
1965,49
1119,6
672,5
415,8
16487,13
1470,13
15328,18
13295,2
1638,13
1737,50
26123,22
1533,109
,3
3047,17
4880,16
6637,36
27478,10
22162,17
31505,3
,17
4965,15
22227,8
6408,26
39,21
1755,23
26349,28
85,19
32265,25
32688,12
3314,14
4241,7
1694,10
37804,13
37804,27
36182,60
,3
3161,3
38997,9
24028,9
34588,4
35478,16
29,55
25228,16
277,16
34565,9
13257,34
9099,20
9664,8
13812,11
11545,38
,19
29574,15
19212,4
43975,7
21386,32
45043,11
31641,16
37984,74
36269,5
9754,78
2138,6
47222,7
44091,7
10522,15
48886,19
1443363,18
23249,2
,25
46915,9
9536,50
26901,10
11522,3
25462,12
893,18
42595,37
3379,11
54720,2
43960,6
3096,6
,7
50422,1
56194,20
46795,84
363822,27
8331,25
568,7
42595,25
43496,33
58815,11
199,3
59947,4
40581,33
54964,50
2665,4
117494,14
60615,7
44523,27
47630,22
,2
32933,22
,6
814,16
64138,9
25462,14
574,9
44574,5
45062,18
17519,10
48478,8
5461,4
57414,15
31319,5
67009,21
6158,8
,8
34386,5
40882,11
49018,9
38626,42
1463,28
8930,2
18749,19
35203,9
,4
69651,31
1514,7
67424,14
42005,58
39160,1
73407,23
76703,4
44698,8
31671,51
543,16
11194,18
73491,26
52201,7
66611,16
59808,13
68507,5
4906,30
72603,1
21909,26
70870,4
5287,3
,23
12649,3
86397,10
20979,2
,4
45531,21
18309,4
76196,8
86191,4
84383,42
42086,18
76832,30
90052,91
90480,2
48424,39
39653,5
87338,12
92588,5
5921,11
24628,11
4639,10
86464,38
54964,127
68920,36
85185,32
91748,4
79708,8
69803,5
,3
91769,18
90680,27
5616,2
62553,52
100353,29
72583,9
103734,5
88495,2
,21
107922,2
,2
66713,128
63791,12
,5
104085,15
31766,11
111482,16
111479,3
66475,14
15410,2
62830,3
2592,13
104015,14
62544,3
23450,4
8047,20
69032,3
,3
88259,14
90630,9
42303,10
104085,9
,6
42227,28
88910,14
