OwnerUserId,Score
383,58
357,52
1384652,198
437,247
124,79
557,103
514,415
205,119
122,318
121,374
381,38
184,41
1665,18
1630,45
2626,108
1178,34
2635,226
1556,103
2648,124
1490,124
1950,24
2657,390
184,98
2128,417
2128,71
116,282
2339,307
338,75
1214,105
1310,65
3508,130
2260,98
3207,1523
4166,148
115,50
4883,559
4883,51
1090,539
4857,50
5024,95
5038,131
5302,127
2066,241
3284,287
204,43
3715,182
4974,23
4883,138
4361,393
1801,108
3885,85
3885,61
,237
6094,35
7086,200
7086,34
,195
8206,99
,28
3561,97
1724701,50
8224,75
4110,208
13360,56
1341,931
1204,150
6329,30
11387,252
4918,375
16186,17
,3
6106,152
4230,838
6522,135
11137,41
7297,216
16981,118
7241,1432
7585,51
10703,459
6340,20
13676,82
18446,138
,74
16204,5
10452,265
392,45
8683,57
13491,60
19410,772
5509,70
11193,127
11571,62
9382,229
20211,36
1898,1460
10676,477
7028,215
2964,59
7234,142
15622,52
419,21
7706,232
9191,330
70293,259
4787,52
22187,56
,25
9425,34
21473,117
9236,54
13227,218
144,45
8018,2689
14569,23
6349,1352
22299,110
726,479
22306,284
21461,35
22913,78
22917,22
22916,56
,16
1227001,188
23601,15
16511,29
23372,219
19678,16
21677,31
24113,117
3043,53
22194,45
7028,157
1965,49
1692,296
5777,83
,218
24396,90
4541,919
319,26
3351,52
4646,70
18406,17
18406,64
4883,220
12448,129
3957,221
17176,118
3747,754
14606,157
25913,14
21384,54
16391,42
9922,206
7675,110
21828,25
24208,39
18811,90
13140,381
2721,27
9940,34
,4
64,39
4337,28
420,101
8913,21
7215,304
25664,91
194,22
23609,57
4998,1424
4279,35
14752,4
4790,108
16794,118
1284,54
208,228
2025,205
12262,1
26927,647
8508,442
12424,99
446104,140
1100768,57
,6
625,1375
91,38
22656,283
3410,1806
20074,139
1103,134
12193,245
30773,847
6335,282
17174,249
7122,33
30790,57
30715,73
161,73
11889,82
,13
1625,21
18265,41
23423,48
2011,94
27171,15
2849,30
,63
267,0
,46
30726,140
28544,55
13140,40
12388,42
,38
30252,91
8078,46
31406,463
4418,6
13279,168
18511,71
,75
4227,838
31505,172
21664,8
20229,116
13753,106
9476,98
,78
536,211
10258,342
1130097,13
27805,233
36036,12
1509,45
,39
91,316
35478,36
35307,394
14966,538
3453,23
37651,19
